Year,Team,Event,GDP,Population,Host country,Unemployment Rate (%),Human development index(HDI),Life expectancy,Calories from animal protein (FAO (2017)),Calories from plant protein (FAO (2017)),Calories from fat (FAO (2017)),Calories from carbohydrates (FAO (2017)),Comm./Dem.,PARTICIPANT,GOLD,SILVER,BRONZE
1992,aus,Weightlifting,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,4,0,0,0
1992,aus,hockey,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,32,0,1,0
1992,aus,basketball,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,12,0,0,0
1992,aus,cycling,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,19,0,1,0
1992,aus,football,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,19,0,0,0
1992,aus,badminton,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,4,0,0,0
1992,aus,swimming,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,73,0,1,0
1992,aus,gymnastics,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,43,0,0,0
1992,aus,boxing,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,6,0,0,0
1992,aus,wrestling,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,2,0,0,0
1992,aus,shooting,"18,570","17,402,173",0,10.73,0.87,77.37805,283.56,133.48,1185.57,1522.39,1,10,0,0,0
1992,canada,Weightlifting,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,2,0,0,0
1992,canada,hockey,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,15,0,0,0
1992,canada,basketball,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,0,0,0,0
1992,canada,cycling,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,16,0,0,0
1992,canada,football,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,0,0,0,0
1992,canada,badminton,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,7,0,0,0
1992,canada,swimming,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,63,0,0,0
1992,canada,gymnastics,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,57,0,0,0
1992,canada,boxing,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,10,0,0,0
1992,canada,wrestling,"20,879","28,224,409",0,11.2,0.86,77.72439,226.88,156.88,1191.42,1516.82,1,13,0,0,0
